GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nagarro-test,com.nagarrow.statements.repository,AccountsRepositoryImpl,68,101,2,2,19,30,2,4,1,3
nagarro-test,com.nagarrow.statements,BeanConfigs,0,3,0,0,0,1,0,1,0,1
nagarro-test,com.nagarrow.statements,StartApplication,5,3,0,0,2,1,1,1,1,1
nagarro-test,com.nagarrow.statements.services,AccountServiceImpl,11,166,5,21,2,44,5,17,0,9
nagarro-test,com.nagarrow.statements.security,BasicAuthWebSecurityConfiguration,0,78,0,0,0,27,0,4,0,4
nagarro-test,com.nagarrow.statements.security,UserRole,3,34,0,0,1,5,1,2,1,2
nagarro-test,com.nagarrow.statements.repository.datasource,MsAccessDataSource,4,3,0,0,1,1,1,1,1,1
nagarro-test,com.nagarrow.statements.util,HashingUtils,7,15,0,0,2,4,0,1,0,1
nagarro-test,com.nagarrow.statements.util,SecurityUtils,38,0,4,0,10,0,4,0,2,0
nagarro-test,com.nagarrow.statements.util,DateUtils,0,25,0,0,0,6,0,2,0,2
nagarro-test,com.nagarrow.statements.util,StatementRequestValidator,0,127,1,29,0,31,1,18,0,4
